,nW,nNW,KrWmax,KrNWmax,FinalTime,FinalRF,Generation,ErrorVal
1,1.3915385447261837,2.12487863996866,0.1249768654829229,0.2612937817507862,1600.0,0.3507118457497051,1,"tf.Tensor(8.836792238466733, shape=(), dtype=float64)"
2,0.4156133391690304,2.538228002397961,0.1935766248632696,0.3793812828778883,1600.0,0.3509111060720736,1,"tf.Tensor(0.7923266211790685, shape=(), dtype=float64)"
3,1.2429646860636154,2.5862897392143793,0.4909867136217906,0.4303489708998772,1600.0,0.35091110597130404,1,"tf.Tensor(7.9866591590555505, shape=(), dtype=float64)"
4,0.9981134144625396,2.5330423876863546,0.20261288174509168,0.4303333533110679,1600.0,0.35091109150188665,1,"tf.Tensor(1.0209869940485983, shape=(), dtype=float64)"
5,0.3745566198860249,2.416554841757067,0.2872958197044703,0.39519906114445236,1600.0,0.35091110609238485,1,"tf.Tensor(4.203464508404932, shape=(), dtype=float64)"
6,1.033564652848214,1.2983017953643705,0.34671661684871463,0.4760214865984267,1600.0,0.35091110603599146,1,"tf.Tensor(12.441698190268209, shape=(), dtype=float64)"
7,1.4595265038932548,1.6788644411328724,0.48622409836966496,0.21027761985993623,1600.0,0.35091107105835373,1,"tf.Tensor(6.280240732325052, shape=(), dtype=float64)"
8,0.34804410130771934,2.3716149042018144,0.2587355944577631,0.2302539131929031,1600.0,0.35091110601046427,1,"tf.Tensor(2.4541066358373227, shape=(), dtype=float64)"
9,1.0548730008992333,2.4219705567358054,0.5639689397271331,0.30282532059614564,1600.0,0.35091110609168363,1,"tf.Tensor(8.042618636469584, shape=(), dtype=float64)"
10,0.661213809679913,2.5846379379429933,0.40140239952164153,0.34170504681536884,1600.0,0.3509111060924851,1,"tf.Tensor(nan, shape=(), dtype=float64)"
11,0.9611266873120281,1.597984885306041,0.3860924012767202,0.5834202425596761,1600.0,0.350911106090613,1,"tf.Tensor(14.489043299528673, shape=(), dtype=float64)"
12,0.9956440827690138,1.8268571155633486,0.3924505688120954,0.555186479689596,1600.0,0.35091110608807075,1,"tf.Tensor(12.84436968715901, shape=(), dtype=float64)"
13,1.4580339788072587,1.2607665930128922,0.45357344860650567,0.18392956450540507,1600.0,0.350911035884548,1,"tf.Tensor(7.0092409067534, shape=(), dtype=float64)"
14,0.8191758325541747,2.1092567272298695,0.21409790469540974,0.36994859361379817,1600.0,0.3509111055538749,1,"tf.Tensor(1.0834181076205962, shape=(), dtype=float64)"
15,0.35143186179496727,1.9057220335555358,0.09194869114692743,0.28553075033552533,1600.0,0.3509110516822599,1,"tf.Tensor(5.463690585584748, shape=(), dtype=float64)"
16,1.470216897974658,2.5209237390621393,0.43491305677372694,0.13366186367324454,1600.0,0.35091092881343067,1,"tf.Tensor(15.625450943314796, shape=(), dtype=float64)"
17,0.43930210947354087,2.7206997973121996,0.12056196365702564,0.5628771416385261,1600.0,0.3509111043531385,1,"tf.Tensor(1.9817155552763124, shape=(), dtype=float64)"
18,0.6711314737373204,2.0880558065353867,0.39332940665686333,0.44073905935316726,1600.0,0.35091110609265275,1,"tf.Tensor(10.793505390657751, shape=(), dtype=float64)"
19,0.9817509596950376,2.365997777236257,0.15436496318693133,0.4781883602432745,1600.0,0.3509109085637667,1,"tf.Tensor(0.7228818398820688, shape=(), dtype=float64)"
20,0.7148333201124843,1.7964369354167657,0.26351113831519557,0.13849277385781902,1600.0,0.35091109872936754,1,"tf.Tensor(2.090090088359101, shape=(), dtype=float64)"
21,1.2466822953166095,1.667948114586142,0.5502868614867169,0.46501344646111475,1600.0,0.3509111060550378,1,"tf.Tensor(16.59185737016967, shape=(), dtype=float64)"
22,0.8434133006254514,1.4148035161753907,0.23844517343107957,0.5549601808430503,1600.0,0.3509111059596756,1,"tf.Tensor(7.181604527560042, shape=(), dtype=float64)"
23,0.6473654598011,2.502002719140685,0.4503230663398649,0.49096391192294486,1600.0,0.35091110609269327,1,"tf.Tensor(10.704161913664667, shape=(), dtype=float64)"
24,0.36955271172666426,2.833250022288966,0.3090584448820952,0.1565750812893986,1600.0,0.3509111031612988,1,"tf.Tensor(16.732841125889042, shape=(), dtype=float64)"
25,1.4146031911025352,1.2725100109619172,0.4377137941926272,0.25324769628009514,1600.0,0.3509110680847607,1,"tf.Tensor(9.504284163358081, shape=(), dtype=float64)"
26,0.5866887792226703,2.406278277438922,0.38504633481883593,0.12834813469935966,1600.0,0.35091109805846077,1,"tf.Tensor(11.83579194325122, shape=(), dtype=float64)"
27,1.4883818070167503,2.471202697264947,0.1336926517494127,0.47165597172651375,1600.0,0.3505666411366157,1,"tf.Tensor(5.8662944028551065, shape=(), dtype=float64)"
28,0.5228240724234918,2.083271596971393,0.20779364500101166,0.27861135074001575,1600.0,0.35091110599881165,1,"tf.Tensor(0.7559077452146893, shape=(), dtype=float64)"
29,0.3273753490781809,2.4914654799976357,0.42307387961639226,0.3994041944105262,1600.0,0.35091110609268156,1,"tf.Tensor(8.612971283654094, shape=(), dtype=float64)"
30,1.230779678282493,2.3468654431591434,0.5587555657515757,0.31324757818583215,1600.0,0.3509111060655101,1,"tf.Tensor(8.204071131078116, shape=(), dtype=float64)"
31,0.3249054222459917,1.0242184444123978,0.5624101414500976,0.2553437339239455,1600.0,0.350911106092615,1,"tf.Tensor(19.793843277732087, shape=(), dtype=float64)"
32,0.6672737134315649,1.4071273705630079,0.30857015407413874,0.5587643538857957,1600.0,0.35091110609259,1,"tf.Tensor(12.991927538358393, shape=(), dtype=float64)"
